MATRICES	D_Count	H_Count
had(1,4,3,5)	100	66
had(4,1,5,3)	100	66
had(1,8,3,9)	100	66
had(8,1,9,3)	100	66
had(1,4,14,5)	100	66
had(4,1,5,14)	100	66
had(1,8,14,9)	100	66
had(8,1,9,14)	100	66
had(1,2,9,3)	100	66
had(2,1,3,9)	100	66
had(1,15,9,14)	100	66
had(15,1,14,9)	100	66
had(1,2,5,3)	100	66
had(2,1,3,5)	100	66
had(1,15,5,14)	100	66
had(15,1,14,5)	100	66
had(1,5,3,4)	100	70
had(5,1,4,3)	100	70
had(1,9,3,8)	100	70
had(9,1,8,3)	100	70
had(1,5,14,4)	100	70
had(5,1,4,14)	100	70
had(1,9,14,8)	100	70
had(9,1,8,14)	100	70
had(1,3,9,2)	100	70
had(3,1,2,9)	100	70
had(1,14,9,15)	100	70
had(14,1,15,9)	100	70
had(1,3,5,2)	100	70
had(3,1,2,5)	100	70
had(1,14,5,15)	100	70
had(14,1,15,5)	100	70
had(1,6,3,7)	116	72
had(1,7,3,6)	116	72
had(6,1,7,3)	116	72
had(7,1,6,3)	116	72
had(1,10,3,11)	116	72
had(1,11,3,10)	116	72
had(10,1,11,3)	116	72
had(11,1,10,3)	116	72
had(1,12,3,13)	116	72
had(1,13,3,12)	116	72
had(12,1,13,3)	116	72
had(13,1,12,3)	116	72
had(2,8,3,10)	116	72
had(8,2,10,3)	116	72
had(2,15,3,13)	116	72
had(15,2,13,3)	116	72
had(4,15,5,13)	116	72
had(15,4,13,5)	116	72
had(4,8,6,9)	116	72
had(8,4,9,6)	116	72
had(8,15,10,14)	116	72
had(15,8,14,10)	116	72
had(1,6,14,7)	116	72
had(1,7,14,6)	116	72
had(6,1,7,14)	116	72
had(7,1,6,14)	116	72
had(1,10,14,11)	116	72
had(1,11,14,10)	116	72
had(10,1,11,14)	116	72
had(11,1,10,14)	116	72
had(1,12,14,13)	116	72
had(1,13,14,12)	116	72
had(12,1,13,14)	116	72
had(13,1,12,14)	116	72
had(2,4,3,11)	116	72
had(4,2,11,3)	116	72
had(2,8,13,9)	116	72
had(8,2,9,13)	116	72
had(2,15,13,14)	116	72
had(15,2,14,13)	116	72
had(4,8,5,7)	116	72
had(8,4,7,5)	116	72
had(4,15,11,14)	116	72
had(15,4,14,11)	116	72
had(1,6,9,7)	116	72
had(1,7,9,6)	116	72
had(6,1,7,9)	116	72
had(7,1,6,9)	116	72
had(1,10,9,11)	116	72
had(1,11,9,10)	116	72
had(10,1,11,9)	116	72
had(11,1,10,9)	116	72
had(1,12,9,13)	116	72
had(1,13,9,12)	116	72
had(12,1,13,9)	116	72
had(13,1,12,9)	116	72
had(2,4,3,12)	116	72
had(4,2,12,3)	116	72
had(2,15,10,14)	116	72
had(15,2,14,10)	116	72
had(4,15,5,7)	116	72
had(15,4,7,5)	116	72
had(4,8,12,9)	116	72
had(8,4,9,12)	116	72
had(8,15,9,7)	116	72
had(15,8,7,9)	116	72
had(1,6,5,7)	116	72
had(1,7,5,6)	116	72
had(6,1,7,5)	116	72
had(7,1,6,5)	116	72
had(1,10,5,11)	116	72
had(1,11,5,10)	116	72
had(10,1,11,5)	116	72
had(11,1,10,5)	116	72
had(1,12,5,13)	116	72
had(1,13,5,12)	116	72
had(12,1,13,5)	116	72
had(13,1,12,5)	116	72
had(2,15,3,11)	116	72
had(15,2,11,3)	116	72
had(2,4,6,5)	116	72
had(4,2,5,6)	116	72
had(2,8,6,9)	116	72
had(8,2,9,6)	116	72
had(4,8,5,12)	116	72
had(8,4,12,5)	116	72
had(8,15,12,14)	116	72
had(15,8,14,12)	116	72
had(1,2,4,3)	92	74
had(2,1,3,4)	92	74
had(1,8,4,9)	92	74
had(8,1,9,4)	92	74
had(1,15,4,14)	92	74
had(15,1,14,4)	92	74
had(1,2,15,3)	92	74
had(2,1,3,15)	92	74
had(1,4,15,5)	92	74
had(4,1,5,15)	92	74
had(1,8,15,9)	92	74
had(8,1,9,15)	92	74
had(1,4,2,5)	92	74
had(4,1,5,2)	92	74
had(1,8,2,9)	92	74
had(8,1,9,2)	92	74
had(1,15,2,14)	92	74
had(15,1,14,2)	92	74
had(1,2,8,3)	92	74
had(2,1,3,8)	92	74
had(1,4,8,5)	92	74
had(4,1,5,8)	92	74
had(1,15,8,14)	92	74
had(15,1,14,8)	92	74
had(3,4,1,5)	100	76
had(4,3,5,1)	100	76
had(3,8,1,9)	100	76
had(8,3,9,1)	100	76
had(2,5,3,7)	124	76
had(5,2,7,3)	124	76
had(3,8,2,10)	116	76
had(8,3,10,2)	116	76
had(2,9,3,11)	124	76
had(9,2,11,3)	124	76
had(2,14,3,12)	124	76
had(14,2,12,3)	124	76
had(3,15,2,13)	116	76
had(15,3,13,2)	116	76
had(4,9,5,11)	124	76
had(9,4,11,5)	124	76
had(4,14,5,12)	124	76
had(14,4,12,5)	124	76
had(5,15,4,13)	116	76
had(15,5,13,4)	116	76
had(4,9,6,8)	116	76
had(9,4,8,6)	116	76
had(5,8,7,9)	124	76
had(8,5,9,7)	124	76
had(5,15,7,14)	124	76
had(15,5,14,7)	124	76
had(8,14,10,15)	116	76
had(14,8,15,10)	116	76
had(9,15,11,14)	124	76
had(15,9,14,11)	124	76
had(4,14,5,1)	100	76
had(14,4,1,5)	100	76
had(8,14,9,1)	100	76
had(14,8,1,9)	100	76
had(3,4,2,11)	116	76
had(4,3,11,2)	116	76
had(2,5,3,10)	124	76
had(5,2,10,3)	124	76
had(2,9,3,6)	124	76
had(9,2,6,3)	124	76
had(2,9,13,8)	116	76
had(9,2,8,13)	116	76
had(2,14,13,15)	116	76
had(14,2,15,13)	116	76
had(3,8,12,9)	124	76
had(8,3,9,12)	124	76
had(3,15,12,14)	124	76
had(15,3,14,12)	124	76
had(4,9,5,6)	124	76
had(9,4,6,5)	124	76
had(5,8,4,7)	116	76
had(8,5,7,4)	116	76
had(4,14,11,15)	116	76
had(14,4,15,11)	116	76
had(5,8,10,9)	124	76
had(8,5,9,10)	124	76
had(5,15,10,14)	124	76
had(15,5,14,10)	124	76
had(9,15,6,14)	124	76
had(15,9,14,6)	124	76
had(2,9,3,1)	100	76
had(9,2,1,3)	100	76
had(9,15,1,14)	100	76
had(15,9,14,1)	100	76
had(3,4,2,12)	116	76
had(4,3,12,2)	116	76
had(2,5,3,13)	124	76
had(5,2,13,3)	124	76
had(2,14,3,6)	124	76
had(14,2,6,3)	124	76
had(2,14,10,15)	116	76
had(14,2,15,10)	116	76
had(3,4,11,5)	124	76
had(4,3,5,11)	124	76
had(3,8,11,9)	124	76
had(8,3,9,11)	124	76
had(3,15,11,14)	124	76
had(15,3,14,11)	124	76
had(4,14,5,6)	124	76
had(14,4,6,5)	124	76
had(5,15,4,7)	116	76
had(15,5,7,4)	116	76
had(4,9,12,8)	116	76
had(9,4,8,12)	116	76
had(5,8,13,9)	124	76
had(8,5,9,13)	124	76
had(8,14,9,6)	124	76
had(14,8,6,9)	124	76
had(9,15,8,7)	116	76
had(15,9,7,8)	116	76
had(2,5,3,1)	100	76
had(5,2,1,3)	100	76
had(5,15,1,14)	100	76
had(15,5,14,1)	100	76
had(2,14,3,10)	124	76
had(14,2,10,3)	124	76
had(3,15,2,11)	116	76
had(15,3,11,2)	116	76
had(2,5,6,4)	116	76
had(5,2,4,6)	116	76
had(2,9,6,8)	116	76
had(9,2,8,6)	116	76
had(3,4,7,5)	124	76
had(4,3,5,7)	124	76
had(3,8,7,9)	124	76
had(8,3,9,7)	124	76
had(3,15,7,14)	124	76
had(15,3,14,7)	124	76
had(5,8,4,12)	116	76
had(8,5,12,4)	116	76
had(4,9,5,13)	124	76
had(9,4,13,5)	124	76
had(4,14,5,10)	124	76
had(14,4,10,5)	124	76
had(8,14,9,10)	124	76
had(14,8,10,9)	124	76
had(8,14,12,15)	116	76
had(14,8,15,12)	116	76
had(9,15,13,14)	124	76
had(15,9,14,13)	124	76
had(1,3,4,2)	92	78
