MATRICES	D_Count	H_Count
had(1,2,4,6)	96	86
had(1,4,2,6)	96	86
had(2,1,6,4)	96	86
had(4,1,6,2)	96	86
had(1,2,5,7)	104	86
had(2,1,7,5)	104	86
had(1,2,8,10)	96	86
had(1,8,2,10)	96	86
had(2,1,10,8)	96	86
had(8,1,10,2)	96	86
had(1,2,14,12)	104	86
had(2,1,12,14)	104	86
had(1,2,15,13)	96	86
had(1,15,2,13)	96	86
had(2,1,13,15)	96	86
had(15,1,13,2)	96	86
had(1,8,3,11)	104	86
had(8,1,11,3)	104	86
had(1,15,3,12)	104	86
had(15,1,12,3)	104	86
had(1,4,8,12)	96	86
had(1,8,4,12)	96	86
had(4,1,12,8)	96	86
had(8,1,12,4)	96	86
had(1,4,9,13)	104	86
had(4,1,13,9)	104	86
had(1,4,14,10)	104	86
had(4,1,10,14)	104	86
had(1,4,15,11)	96	86
had(1,15,4,11)	96	86
had(4,1,11,15)	96	86
had(15,1,11,4)	96	86
had(1,8,5,13)	104	86
had(8,1,13,5)	104	86
had(1,15,9,6)	104	86
had(15,1,6,9)	104	86
had(1,8,15,7)	96	86
had(1,15,8,7)	96	86
had(8,1,7,15)	96	86
had(15,1,7,8)	96	86
had(1,5,2,7)	104	90
had(5,1,7,2)	104	90
had(1,14,2,12)	104	90
had(14,1,12,2)	104	90
had(1,3,5,6)	112	90
had(1,5,3,6)	112	90
had(3,1,6,5)	112	90
had(5,1,6,3)	112	90
had(1,3,8,11)	104	90
had(3,1,11,8)	104	90
had(1,3,9,10)	112	90
had(1,9,3,10)	112	90
had(3,1,10,9)	112	90
had(9,1,10,3)	112	90
had(1,3,15,12)	104	90
had(3,1,12,15)	104	90
had(1,9,4,13)	104	90
had(9,1,13,4)	104	90
had(1,14,4,10)	104	90
had(14,1,10,4)	104	90
had(1,5,8,13)	104	90
had(5,1,13,8)	104	90
had(1,5,14,11)	112	90
had(1,14,5,11)	112	90
had(5,1,11,14)	112	90
had(14,1,11,5)	112	90
had(1,9,15,6)	104	90
had(9,1,6,15)	104	90
had(1,9,14,7)	112	90
had(1,14,9,7)	112	90
had(9,1,7,14)	112	90
had(14,1,7,9)	112	90
had(1,6,2,4)	96	92
had(1,6,4,2)	96	92
had(2,4,1,6)	96	92
had(2,4,6,1)	96	92
had(4,2,1,6)	96	92
had(4,2,6,1)	96	92
had(6,1,2,4)	96	92
had(6,1,4,2)	96	92
had(1,7,2,5)	104	92
had(1,7,5,2)	104	92
had(7,1,2,5)	104	92
had(7,1,5,2)	104	92
had(1,10,2,8)	96	92
had(1,10,8,2)	96	92
had(2,8,1,10)	96	92
had(2,8,10,1)	96	92
had(8,2,1,10)	96	92
had(8,2,10,1)	96	92
had(10,1,2,8)	96	92
had(10,1,8,2)	96	92
had(1,12,2,14)	104	92
had(1,12,14,2)	104	92
had(12,1,2,14)	104	92
had(12,1,14,2)	104	92
had(1,13,2,15)	96	92
had(1,13,15,2)	96	92
had(2,15,1,13)	96	92
had(2,15,13,1)	96	92
had(13,1,2,15)	96	92
had(13,1,15,2)	96	92
had(15,2,1,13)	96	92
had(15,2,13,1)	96	92
had(1,6,3,5)	112	92
had(1,6,5,3)	112	92
had(6,1,3,5)	112	92
had(6,1,5,3)	112	92
had(1,11,3,8)	104	92
had(1,11,8,3)	104	92
had(11,1,3,8)	104	92
had(11,1,8,3)	104	92
had(1,10,3,9)	112	92
had(1,10,9,3)	112	92
had(10,1,3,9)	112	92
had(10,1,9,3)	112	92
had(1,12,3,15)	104	92
had(1,12,15,3)	104	92
had(12,1,3,15)	104	92
had(12,1,15,3)	104	92
had(1,12,4,8)	96	92
had(1,12,8,4)	96	92
had(4,8,1,12)	96	92
had(4,8,12,1)	96	92
had(8,4,1,12)	96	92
had(8,4,12,1)	96	92
had(12,1,4,8)	96	92
had(12,1,8,4)	96	92
had(1,13,4,9)	104	92
had(1,13,9,4)	104	92
had(13,1,4,9)	104	92
had(13,1,9,4)	104	92
had(1,10,4,14)	104	92
had(1,10,14,4)	104	92
had(10,1,4,14)	104	92
had(10,1,14,4)	104	92
had(1,11,4,15)	96	92
had(1,11,15,4)	96	92
had(4,15,1,11)	96	92
had(4,15,11,1)	96	92
had(11,1,4,15)	96	92
had(11,1,15,4)	96	92
had(15,4,1,11)	96	92
had(15,4,11,1)	96	92
had(1,13,5,8)	104	92
had(1,13,8,5)	104	92
had(13,1,5,8)	104	92
had(13,1,8,5)	104	92
had(1,11,5,14)	112	92
had(1,11,14,5)	112	92
had(11,1,5,14)	112	92
had(11,1,14,5)	112	92
had(1,6,9,15)	104	92
had(1,6,15,9)	104	92
had(6,1,9,15)	104	92
had(6,1,15,9)	104	92
had(1,7,8,15)	96	92
had(1,7,15,8)	96	92
had(7,1,8,15)	96	92
had(7,1,15,8)	96	92
had(8,15,1,7)	96	92
had(8,15,7,1)	96	92
had(15,8,1,7)	96	92
had(15,8,7,1)	96	92
had(1,7,9,14)	112	92
had(1,7,14,9)	112	92
had(7,1,9,14)	112	92
had(7,1,14,9)	112	92
had(2,4,10,13)	120	92
had(2,4,13,10)	120	92
had(4,2,10,13)	120	92
had(4,2,13,10)	120	92
had(2,15,6,10)	120	92
had(2,15,10,6)	120	92
had(15,2,6,10)	120	92
had(15,2,10,6)	120	92
had(2,8,7,12)	120	92
had(2,8,12,7)	120	92
had(8,2,7,12)	120	92
had(8,2,12,7)	120	92
had(2,15,7,11)	120	92
had(2,15,11,7)	120	92
had(15,2,7,11)	120	92
had(15,2,11,7)	120	92
had(4,8,6,11)	120	92
had(4,8,11,6)	120	92
had(8,4,6,11)	120	92
had(8,4,11,6)	120	92
had(4,15,6,12)	120	92
had(4,15,12,6)	120	92
had(15,4,6,12)	120	92
had(15,4,12,6)	120	92
had(4,8,7,10)	120	92
had(4,8,10,7)	120	92
had(8,4,7,10)	120	92
had(8,4,10,7)	120	92
had(8,15,11,13)	120	92
had(8,15,13,11)	120	92
had(15,8,11,13)	120	92
had(15,8,13,11)	120	92
had(2,5,1,7)	104	96
had(2,5,7,1)	104	96
had(5,2,1,7)	104	96
had(5,2,7,1)	104	96
had(2,14,1,12)	104	96
had(2,14,12,1)	104	96
had(14,2,1,12)	104	96
had(14,2,12,1)	104	96
had(3,8,1,11)	104	96
had(3,8,11,1)	104	96
had(8,3,1,11)	104	96
had(8,3,11,1)	104	96
had(3,15,1,12)	104	96
had(3,15,12,1)	104	96
had(15,3,1,12)	104	96
had(15,3,12,1)	104	96
had(4,9,1,13)	104	96
had(4,9,13,1)	104	96
had(9,4,1,13)	104	96
had(9,4,13,1)	104	96
had(4,14,1,10)	104	96
had(4,14,10,1)	104	96
had(14,4,1,10)	104	96
had(14,4,10,1)	104	96
had(5,8,1,13)	104	96
had(5,8,13,1)	104	96
had(8,5,1,13)	104	96
had(8,5,13,1)	104	96
had(9,15,1,6)	104	96
had(9,15,6,1)	104	96
had(15,9,1,6)	104	96
had(15,9,6,1)	104	96
had(2,5,10,12)	128	96
had(2,5,12,10)	128	96
had(5,2,10,12)	128	96
had(5,2,12,10)	128	96
had(2,5,11,13)	128	96
had(2,5,13,11)	128	96
had(5,2,11,13)	128	96
had(5,2,13,11)	128	96
had(2,9,6,12)	128	96
had(2,9,12,6)	128	96
had(9,2,6,12)	128	96
had(9,2,12,6)	128	96
had(2,14,6,11)	128	96
had(2,14,11,6)	128	96
had(14,2,6,11)	128	96
had(14,2,11,6)	128	96
had(2,9,7,13)	128	96
had(2,9,13,7)	128	96
had(9,2,7,13)	128	96
had(9,2,13,7)	128	96
had(3,4,10,12)	128	96
had(3,4,12,10)	128	96
had(4,3,10,12)	128	96
had(4,3,12,10)	128	96
had(3,4,11,13)	128	96
had(3,4,13,11)	128	96
had(4,3,11,13)	128	96
had(4,3,13,11)	128	96
had(3,8,6,12)	128	96
had(3,8,12,6)	128	96
had(8,3,6,12)	128	96
had(8,3,12,6)	128	96
had(3,8,7,13)	128	96
had(3,8,13,7)	128	96
had(8,3,7,13)	128	96
had(8,3,13,7)	128	96
had(3,15,7,10)	128	96
had(3,15,10,7)	128	96
had(15,3,7,10)	128	96
had(15,3,10,7)	128	96
had(4,14,6,13)	128	96
had(4,14,13,6)	128	96
had(14,4,6,13)	128	96
had(14,4,13,6)	128	96
had(4,9,7,11)	128	96
had(4,9,11,7)	128	96
had(9,4,7,11)	128	96
had(9,4,11,7)	128	96
had(4,14,7,12)	128	96
had(4,14,12,7)	128	96
had(14,4,7,12)	128	96
had(14,4,12,7)	128	96
had(5,8,6,10)	128	96
had(5,8,10,6)	128	96
had(8,5,6,10)	128	96
had(8,5,10,6)	128	96
had(5,15,6,13)	128	96
had(5,15,13,6)	128	96
had(15,5,6,13)	128	96
had(15,5,13,6)	128	96
had(5,15,7,12)	128	96
had(5,15,12,7)	128	96
had(15,5,7,12)	128	96
had(15,5,12,7)	128	96
had(8,14,10,13)	128	96
had(8,14,13,10)	128	96
had(14,8,10,13)	128	96
had(14,8,13,10)	128	96
had(8,14,11,12)	128	96
had(8,14,12,11)	128	96
had(14,8,11,12)	128	96
had(14,8,12,11)	128	96
had(9,15,10,13)	128	96
had(9,15,13,10)	128	96
had(15,9,10,13)	128	96
had(15,9,13,10)	128	96
had(9,15,11,12)	128	96
had(9,15,12,11)	128	96
had(15,9,11,12)	128	96
had(15,9,12,11)	128	96
had(2,6,1,4)	96	98
had(4,6,1,2)	96	98
had(6,2,4,1)	96	98
had(6,4,2,1)	96	98
had(2,7,1,5)	104	98
had(7,2,5,1)	104	98
had(2,10,1,8)	96	98
had(8,10,1,2)	96	98
had(10,2,8,1)	96	98
had(10,8,2,1)	96	98
had(2,12,1,14)	104	98
had(12,2,14,1)	104	98
had(2,13,1,15)	96	98
had(13,2,15,1)	96	98
had(13,15,2,1)	96	98
had(15,13,1,2)	96	98
had(8,11,1,3)	104	98
had(11,8,3,1)	104	98
had(12,15,3,1)	104	98
had(15,12,1,3)	104	98
had(4,12,1,8)	96	98
had(8,12,1,4)	96	98
had(12,4,8,1)	96	98
had(12,8,4,1)	96	98
had(4,13,1,9)	104	98
had(13,4,9,1)	104	98
had(4,10,1,14)	104	98
had(10,4,14,1)	104	98
had(4,11,1,15)	96	98
had(11,4,15,1)	96	98
had(11,15,4,1)	96	98
had(15,11,1,4)	96	98
had(8,13,1,5)	104	98
had(13,8,5,1)	104	98
had(6,15,9,1)	104	98
had(15,6,1,9)	104	98
had(7,8,15,1)	96	98
had(7,15,8,1)	96	98
had(8,7,1,15)	96	98
had(15,7,1,8)	96	98
had(2,10,13,4)	120	98
had(2,13,10,4)	120	98
had(4,10,13,2)	120	98
had(4,13,10,2)	120	98
had(10,2,4,13)	120	98
had(10,4,2,13)	120	98
had(13,2,4,10)	120	98
had(13,4,2,10)	120	98
had(2,10,12,5)	128	98
had(2,12,10,5)	128	98
had(10,2,5,12)	128	98
had(12,2,5,10)	128	98
had(2,11,13,5)	128	98
had(2,13,11,5)	128	98
had(11,2,5,13)	128	98
had(13,2,5,11)	128	98
had(2,6,12,9)	128	98
had(2,12,6,9)	128	98
had(6,2,9,12)	128	98
had(12,2,9,6)	128	98
had(2,6,10,15)	120	98
had(2,10,6,15)	120	98
had(6,2,15,10)	120	98
had(6,15,2,10)	120	98
had(10,2,15,6)	120	98
had(10,15,2,6)	120	98
had(15,6,10,2)	120	98
had(15,10,6,2)	120	98
had(2,6,11,14)	128	98
had(2,11,6,14)	128	98
had(6,2,14,11)	128	98
had(11,2,14,6)	128	98
had(2,7,12,8)	120	98
had(2,12,7,8)	120	98
had(7,2,8,12)	120	98
had(7,8,2,12)	120	98
had(8,7,12,2)	120	98
had(8,12,7,2)	120	98
had(12,2,8,7)	120	98
had(12,8,2,7)	120	98
had(2,7,13,9)	128	98
had(2,13,7,9)	128	98
had(7,2,9,13)	128	98
had(13,2,9,7)	128	98
had(2,7,11,15)	120	98
had(2,11,7,15)	120	98
had(7,2,15,11)	120	98
had(7,15,2,11)	120	98
had(11,2,15,7)	120	98
had(11,15,2,7)	120	98
had(15,7,11,2)	120	98
had(15,11,7,2)	120	98
had(4,10,12,3)	128	98
had(4,12,10,3)	128	98
had(10,4,3,12)	128	98
had(12,4,3,10)	128	98
had(4,11,13,3)	128	98
had(4,13,11,3)	128	98
had(11,4,3,13)	128	98
had(13,4,3,11)	128	98
had(6,8,3,12)	128	98
had(8,6,12,3)	128	98
had(8,12,6,3)	128	98
had(12,8,3,6)	128	98
had(7,8,3,13)	128	98
had(8,7,13,3)	128	98
had(8,13,7,3)	128	98
had(13,8,3,7)	128	98
had(7,15,3,10)	128	98
had(10,15,3,7)	128	98
had(15,7,10,3)	128	98
had(15,10,7,3)	128	98
had(4,6,11,8)	120	98
had(4,11,6,8)	120	98
had(6,4,8,11)	120	98
had(6,8,4,11)	120	98
had(8,6,11,4)	120	98
had(8,11,6,4)	120	98
had(11,4,8,6)	120	98
had(11,8,4,6)	120	98
had(4,6,12,15)	120	98
had(4,12,6,15)	120	98
had(6,4,15,12)	120	98
had(6,15,4,12)	120	98
had(12,4,15,6)	120	98
had(12,15,4,6)	120	98
had(15,6,12,4)	120	98
