MATRICES	D_Count	H_Count
had(1,12,2,14)	80	66
had(12,1,14,2)	80	66
had(1,12,3,15)	96	66
had(12,1,15,3)	96	66
had(1,6,2,4)	72	68
had(6,1,4,2)	72	68
had(2,12,1,14)	80	68
had(12,2,14,1)	80	68
had(1,6,3,5)	88	68
had(6,1,5,3)	88	68
had(1,4,2,6)	72	70
had(2,6,1,4)	72	70
had(4,1,6,2)	72	70
had(6,2,4,1)	72	70
had(1,4,3,7)	96	70
had(4,1,7,3)	96	70
had(6,12,4,15)	104	70
had(12,6,15,4)	104	70
had(2,4,1,6)	72	72
had(4,2,6,1)	72	72
had(3,12,1,15)	96	72
had(12,3,15,1)	96	72
had(4,12,6,15)	104	72
had(12,4,15,6)	104	72
had(4,12,7,14)	112	72
had(12,4,14,7)	112	72
had(1,10,2,8)	96	74
had(10,1,8,2)	96	74
had(1,2,12,14)	80	74
had(2,1,14,12)	80	74
had(1,2,13,15)	104	74
had(1,13,2,15)	104	74
had(2,1,15,13)	104	74
had(13,1,15,2)	104	74
had(1,5,3,6)	88	74
had(3,6,1,5)	88	74
had(5,1,6,3)	88	74
had(6,3,5,1)	88	74
had(1,10,3,9)	112	74
had(10,1,9,3)	112	74
had(1,8,2,10)	96	76
had(2,10,1,8)	96	76
had(8,1,10,2)	96	76
had(10,2,8,1)	96	76
had(1,14,2,12)	80	76
had(2,12,14,1)	80	76
had(12,2,1,14)	80	76
had(14,1,12,2)	80	76
had(2,13,1,15)	104	76
had(13,2,15,1)	104	76
had(1,7,3,4)	96	76
had(3,4,1,7)	96	76
had(4,3,7,1)	96	76
had(7,1,4,3)	96	76
had(1,8,3,11)	120	76
had(8,1,11,3)	120	76
had(1,6,12,10)	80	76
had(6,1,10,12)	80	76
had(1,6,13,11)	112	76
had(6,1,11,13)	112	76
had(5,12,7,15)	128	76
had(12,5,15,7)	128	76
had(2,8,1,10)	96	78
had(8,2,10,1)	96	78
had(2,14,1,12)	80	78
had(14,2,12,1)	80	78
had(1,3,12,15)	96	78
had(3,1,15,12)	96	78
had(1,4,13,9)	112	78
had(4,1,9,13)	112	78
had(6,12,10,1)	80	78
had(12,6,1,10)	80	78
had(2,6,15,10)	112	78
had(6,2,10,15)	112	78
had(6,10,4,9)	120	78
had(10,6,9,4)	120	78
had(6,13,4,14)	112	78
had(13,6,14,4)	112	78
had(7,12,4,14)	112	78
had(12,7,14,4)	112	78
had(6,10,5,8)	120	78
had(10,6,8,5)	120	78
had(6,13,5,15)	128	78
had(13,6,15,5)	128	78
had(7,12,5,15)	128	78
had(12,7,15,5)	128	78
had(8,12,11,14)	136	78
had(12,8,14,11)	136	78
had(1,15,2,13)	104	80
had(15,1,13,2)	104	80
had(3,5,1,6)	88	80
had(5,3,6,1)	88	80
had(1,9,3,10)	112	80
had(3,10,1,9)	112	80
had(9,1,10,3)	112	80
had(10,3,9,1)	112	80
had(1,15,3,12)	96	80
had(3,12,15,1)	96	80
had(12,3,1,15)	96	80
had(15,1,12,3)	96	80
had(2,4,15,8)	120	80
had(4,2,8,15)	120	80
had(2,4,14,9)	120	80
had(4,2,9,14)	120	80
had(6,8,4,11)	128	80
had(8,6,11,4)	128	80
had(4,10,6,9)	120	80
had(10,4,9,6)	120	80
had(4,13,6,14)	112	80
had(6,14,4,13)	112	80
had(13,4,14,6)	112	80
had(14,6,13,4)	112	80
had(4,10,7,8)	128	80
had(10,4,8,7)	128	80
had(6,8,5,10)	120	80
had(8,6,10,5)	120	80
had(1,2,4,6)	72	82
had(1,2,6,4)	72	82
had(2,1,4,6)	72	82
had(2,1,6,4)	72	82
had(2,15,1,13)	104	82
had(15,2,13,1)	104	82
had(3,7,1,4)	96	82
had(7,3,4,1)	96	82
had(1,11,3,8)	120	82
had(3,8,1,11)	120	82
had(8,3,11,1)	120	82
had(11,1,8,3)	120	82
had(1,5,13,8)	112	82
had(5,1,8,13)	112	82
had(1,5,12,9)	104	82
had(1,12,5,9)	104	82
had(5,1,9,12)	104	82
had(12,1,9,5)	104	82
had(1,10,12,6)	80	82
had(1,12,6,10)	80	82
had(10,1,6,12)	80	82
had(12,1,10,6)	80	82
had(1,10,13,7)	112	82
had(10,1,7,13)	112	82
had(1,12,7,11)	112	82
had(12,1,11,7)	112	82
had(3,6,14,10)	112	82
had(6,3,10,14)	112	82
had(4,6,8,11)	128	82
had(4,8,6,11)	128	82
had(6,4,11,8)	128	82
had(8,4,11,6)	128	82
had(4,6,9,10)	120	82
had(6,4,10,9)	120	82
had(4,14,6,13)	112	82
had(14,4,13,6)	112	82
had(4,8,7,10)	128	82
had(8,4,10,7)	128	82
had(4,14,7,12)	112	82
had(14,4,12,7)	112	82
had(9,12,11,15)	152	82
had(12,9,15,11)	152	82
had(1,6,4,2)	72	84
had(6,1,2,4)	72	84
had(1,14,12,2)	80	84
had(14,1,2,12)	80	84
had(2,13,15,1)	104	84
had(13,2,1,15)	104	84
had(1,6,5,3)	88	84
had(6,1,3,5)	88	84
had(1,8,13,5)	112	84
had(8,1,5,13)	112	84
had(5,12,9,1)	104	84
had(12,5,1,9)	104	84
had(10,12,6,1)	80	84
had(12,10,1,6)	80	84
had(1,7,13,10)	112	84
had(7,1,10,13)	112	84
had(1,7,12,11)	112	84
had(7,1,11,12)	112	84
had(2,12,4,11)	104	84
had(12,2,11,4)	104	84
had(2,5,14,8)	120	84
had(5,2,8,14)	120	84
had(2,12,5,10)	96	84
had(12,2,10,5)	96	84
had(2,12,6,9)	96	84
had(12,2,9,6)	96	84
had(2,10,15,6)	112	84
had(10,2,6,15)	112	84
