MATRICES	D_Count	H_Count
had(1,2,8,10)	96	66
had(2,1,10,8)	96	66
had(1,2,9,11)	80	66
had(2,1,11,9)	80	66
had(2,9,11,1)	80	68
had(9,2,1,11)	80	68
had(1,4,8,12)	88	68
had(4,1,12,8)	88	68
had(1,4,9,13)	72	68
had(4,1,13,9)	72	68
had(1,13,9,4)	72	70
had(4,9,13,1)	72	70
had(9,4,1,13)	72	70
had(13,1,4,9)	72	70
had(1,13,8,5)	96	70
had(13,1,5,8)	96	70
had(2,4,10,13)	104	70
had(4,2,13,10)	104	70
had(2,8,10,1)	96	72
had(8,2,1,10)	96	72
had(9,13,1,4)	72	72
had(13,9,4,1)	72	72
had(2,13,10,4)	104	72
had(13,2,4,10)	104	72
had(2,13,11,5)	112	72
had(13,2,5,11)	112	72
had(1,9,2,11)	80	74
had(9,1,11,2)	80	74
had(1,3,9,10)	104	74
had(1,9,3,10)	104	74
had(3,1,10,9)	104	74
had(9,1,10,3)	104	74
had(1,12,8,4)	88	74
had(4,8,12,1)	88	74
had(8,4,1,12)	88	74
had(12,1,4,8)	88	74
had(1,6,8,14)	112	74
had(6,1,14,8)	112	74
had(1,6,9,15)	96	74
had(6,1,15,9)	96	74
had(1,4,2,6)	80	76
had(4,1,6,2)	80	76
had(1,11,9,2)	80	76
had(2,9,1,11)	80	76
had(9,2,11,1)	80	76
had(11,1,2,9)	80	76
had(1,4,3,7)	112	76
had(4,1,7,3)	112	76
had(3,9,10,1)	104	76
had(9,3,1,10)	104	76
had(1,5,8,13)	96	76
had(5,1,13,8)	96	76
had(8,13,1,5)	96	76
had(13,8,5,1)	96	76
had(1,15,9,6)	96	76
had(6,9,15,1)	96	76
had(9,6,1,15)	96	76
had(15,1,6,9)	96	76
had(1,15,8,7)	120	76
had(15,1,7,8)	120	76
had(2,12,10,5)	128	76
had(12,2,5,10)	128	76
had(2,4,1,6)	80	78
had(4,2,6,1)	80	78
had(1,8,2,10)	96	78
had(8,1,10,2)	96	78
had(9,11,1,2)	80	78
had(11,9,2,1)	80	78
had(1,13,3,14)	112	78
had(13,1,14,3)	112	78
had(9,15,1,6)	96	78
had(15,9,6,1)	96	78
had(2,5,10,12)	128	78
