MATRICES	D_Count	H_Count
had(2,15,11,13,7,6,12,5)	552	250
had(2,15,7,6,11,13,12,5)	552	250
had(15,2,13,11,6,7,5,12)	552	250
had(15,2,6,7,13,11,5,12)	552	250
had(2,13,11,15,7,5,12,6)	552	252
had(2,13,7,5,11,15,12,6)	552	252
had(13,2,15,11,5,7,6,12)	552	252
had(13,2,5,7,15,11,6,12)	552	252
had(1,15,10,11,12,14,6,3)	568	256
had(1,15,12,14,10,11,6,3)	568	256
had(15,1,11,10,14,12,3,6)	568	256
had(15,1,14,12,11,10,3,6)	568	256
had(1,2,7,3,5,14,10,13)	544	258
had(1,2,5,14,7,3,10,13)	544	258
had(2,1,3,7,14,5,13,10)	544	258
had(2,1,14,5,3,7,13,10)	544	258
had(6,10,4,7,15,14,9,2)	544	262
had(6,10,15,14,4,7,9,2)	544	262
had(10,6,7,4,14,15,2,9)	544	262
had(10,6,14,15,7,4,2,9)	544	262
had(4,10,6,7,9,14,15,2)	544	264
had(4,10,9,14,6,7,15,2)	544	264
had(10,4,7,6,14,9,2,15)	544	264
had(10,4,14,9,7,6,2,15)	544	264
had(1,14,10,3,12,15,6,11)	568	264
had(1,14,12,15,10,3,6,11)	568	264
had(14,1,3,10,15,12,11,6)	568	264
had(14,1,15,12,3,10,11,6)	568	264
had(2,6,11,5,7,15,12,13)	552	264
had(2,6,7,15,11,5,12,13)	552	264
had(6,2,5,11,15,7,13,12)	552	264
had(6,2,15,7,5,11,13,12)	552	264
had(1,15,12,14,8,7,13,4)	512	264
had(1,15,8,7,12,14,13,4)	512	264
had(15,1,14,12,7,8,4,13)	512	264
had(15,1,7,8,14,12,4,13)	512	264
had(4,13,5,9,14,12,11,10)	536	266
had(4,13,14,12,5,9,11,10)	536	266
had(13,4,9,5,12,14,10,11)	536	266
had(13,4,12,14,9,5,10,11)	536	266
had(1,9,7,11,8,10,15,5)	536	266
had(1,9,8,10,7,11,15,5)	536	266
had(9,1,11,7,10,8,5,15)	536	266
had(9,1,10,8,11,7,5,15)	536	266
had(2,9,3,11,12,1,4,7)	456	268
had(2,9,12,1,3,11,4,7)	456	268
had(9,2,11,3,1,12,7,4)	456	268
had(9,2,1,12,11,3,7,4)	456	268
had(1,11,10,15,12,3,6,14)	568	268
had(1,11,12,3,10,15,6,14)	568	268
had(11,1,15,10,3,12,14,6)	568	268
had(11,1,3,12,15,10,14,6)	568	268
had(3,5,2,10,14,7,13,1)	544	270
had(3,5,14,7,2,10,13,1)	544	270
had(5,3,10,2,7,14,1,13)	544	270
had(5,3,7,14,10,2,1,13)	544	270
had(6,14,4,2,15,10,9,7)	544	270
had(6,14,15,10,4,2,9,7)	544	270
had(14,6,2,4,10,15,7,9)	544	270
had(14,6,10,15,2,4,7,9)	544	270
had(1,3,10,14,12,11,6,15)	568	270
had(1,3,12,11,10,14,6,15)	568	270
had(3,1,14,10,11,12,15,6)	568	270
had(3,1,11,12,14,10,15,6)	568	270
had(11,13,2,15,7,6,12,5)	552	270
had(11,13,7,6,2,15,12,5)	552	270
had(13,11,15,2,6,7,5,12)	552	270
had(13,11,6,7,15,2,5,12)	552	270
had(12,15,1,14,13,7,8,4)	512	270
had(12,15,13,7,1,14,8,4)	512	270
had(15,12,14,1,7,13,4,8)	512	270
had(15,12,7,13,14,1,4,8)	512	270
had(3,7,2,1,14,5,13,10)	544	272
had(3,7,14,5,2,1,13,10)	544	272
had(7,3,1,2,5,14,10,13)	544	272
had(7,3,5,14,1,2,10,13)	544	272
had(2,6,14,4,7,15,10,9)	544	272
had(2,6,7,15,14,4,10,9)	544	272
had(4,14,6,2,9,10,15,7)	544	272
had(4,14,9,10,6,2,15,7)	544	272
had(6,2,4,14,15,7,9,10)	544	272
had(6,2,15,7,4,14,9,10)	544	272
had(14,4,2,6,10,9,7,15)	544	272
had(14,4,10,9,2,6,7,15)	544	272
had(2,13,11,15,12,6,7,5)	552	272
had(2,13,12,6,11,15,7,5)	552	272
had(11,15,2,13,12,6,7,5)	552	272
had(11,15,12,6,2,13,7,5)	552	272
had(13,2,15,11,6,12,5,7)	552	272
had(13,2,6,12,15,11,5,7)	552	272
had(15,11,13,2,6,12,5,7)	552	272
had(15,11,6,12,13,2,5,7)	552	272
had(1,3,7,2,10,14,5,13)	544	274
had(1,3,10,14,7,2,5,13)	544	274
had(2,5,3,10,14,1,13,7)	544	274
had(2,5,3,10,13,7,14,1)	544	274
had(2,5,14,1,3,10,13,7)	544	274
had(2,5,13,7,3,10,14,1)	544	274
had(3,1,2,7,14,10,13,5)	544	274
had(3,1,14,10,2,7,13,5)	544	274
had(5,2,10,3,1,14,7,13)	544	274
had(5,2,10,3,7,13,1,14)	544	274
had(5,2,1,14,10,3,7,13)	544	274
had(5,2,7,13,10,3,1,14)	544	274
had(1,6,5,4,14,11,2,8)	472	274
had(1,6,14,11,5,4,2,8)	472	274
had(6,1,4,5,11,14,8,2)	472	274
had(6,1,11,14,4,5,8,2)	472	274
had(5,13,4,9,11,12,14,10)	536	274
had(5,13,11,12,4,9,14,10)	536	274
had(13,5,9,4,12,11,10,14)	536	274
had(13,5,12,11,9,4,10,14)	536	274
had(2,4,14,6,7,9,10,15)	544	274
had(2,4,14,6,10,15,7,9)	544	274
had(2,4,7,9,14,6,10,15)	544	274
had(2,4,10,15,14,6,7,9)	544	274
had(4,2,6,14,9,7,15,10)	544	274
had(4,2,6,14,15,10,9,7)	544	274
had(4,2,9,7,6,14,15,10)	544	274
had(4,2,15,10,6,14,9,7)	544	274
had(4,7,6,10,15,14,9,2)	544	274
had(4,7,15,14,6,10,9,2)	544	274
had(6,14,15,10,9,7,4,2)	544	274
had(6,14,9,7,15,10,4,2)	544	274
had(14,6,10,15,7,9,2,4)	544	274
had(14,6,7,9,10,15,2,4)	544	274
had(14,9,10,4,7,6,2,15)	544	274
had(14,9,7,6,10,4,2,15)	544	274
had(7,4,10,6,14,15,2,9)	544	274
had(7,4,14,15,10,6,2,9)	544	274
had(9,14,4,10,6,7,15,2)	544	274
had(9,14,6,7,4,10,15,2)	544	274
had(15,12,3,10,14,1,11,6)	568	274
had(15,12,11,6,14,1,3,10)	568	274
had(15,12,14,1,3,10,11,6)	568	274
had(15,12,14,1,11,6,3,10)	568	274
had(12,15,10,3,1,14,6,11)	568	274
had(12,15,6,11,1,14,10,3)	568	274
had(12,15,1,14,10,3,6,11)	568	274
had(12,15,1,14,6,11,10,3)	568	274
had(2,5,11,6,7,13,12,15)	552	274
had(2,5,7,13,11,6,12,15)	552	274
had(5,2,6,11,13,7,15,12)	552	274
had(5,2,13,7,6,11,15,12)	552	274
had(11,13,2,15,12,5,7,6)	552	274
had(11,13,12,5,2,15,7,6)	552	274
had(13,11,15,2,5,12,6,7)	552	274
had(13,11,5,12,15,2,6,7)	552	274
had(12,14,1,15,8,7,13,4)	512	274
had(12,14,8,7,1,15,13,4)	512	274
had(14,12,15,1,7,8,4,13)	512	274
had(14,12,7,8,15,1,4,13)	512	274
had(2,7,3,1,13,5,14,10)	544	276
had(2,7,13,5,3,1,14,10)	544	276
had(7,2,1,3,5,13,10,14)	544	276
had(7,2,5,13,1,3,10,14)	544	276
had(2,9,3,11,4,7,12,1)	456	276
had(2,9,4,7,3,11,12,1)	456	276
had(9,2,11,3,7,4,1,12)	456	276
had(9,2,7,4,11,3,1,12)	456	276
had(1,4,2,11,5,6,14,8)	472	276
had(1,4,5,6,2,11,14,8)	472	276
had(1,4,5,6,14,8,2,11)	472	276
had(1,4,14,8,5,6,2,11)	472	276
had(4,1,11,2,6,5,8,14)	472	276
had(4,1,6,5,11,2,8,14)	472	276
had(4,1,6,5,8,14,11,2)	472	276
had(4,1,8,14,6,5,11,2)	472	276
had(3,9,2,11,15,13,8,14)	488	276
had(3,9,2,11,14,8,13,15)	488	276
had(3,9,15,13,2,11,8,14)	488	276
had(3,9,14,8,2,11,13,15)	488	276
had(9,3,11,2,13,15,14,8)	488	276
had(9,3,11,2,8,14,15,13)	488	276
had(9,3,13,15,11,2,14,8)	488	276
had(9,3,8,14,11,2,15,13)	488	276
had(4,14,9,10,15,7,6,2)	544	276
had(4,14,15,7,9,10,6,2)	544	276
had(14,4,10,9,7,15,2,6)	544	276
had(14,4,7,15,10,9,2,6)	544	276
had(14,15,10,6,7,4,2,9)	544	276
had(14,15,7,4,10,6,2,9)	544	276
had(15,14,6,10,4,7,9,2)	544	276
had(15,14,4,7,6,10,9,2)	544	276
had(1,14,12,15,13,7,8,4)	512	276
had(1,14,13,7,12,15,8,4)	512	276
had(7,12,15,13,14,8,4,1)	512	276
had(7,12,14,8,15,13,4,1)	512	276
had(7,8,15,1,14,12,4,13)	512	276
had(7,8,14,12,15,1,4,13)	512	276
had(12,7,13,15,8,14,1,4)	512	276
had(12,7,8,14,13,15,1,4)	512	276
had(8,7,1,15,12,14,13,4)	512	276
had(8,7,12,14,1,15,13,4)	512	276
had(14,1,15,12,7,13,4,8)	512	276
had(14,1,7,13,15,12,4,8)	512	276
had(1,2,7,3,10,13,5,14)	544	278
had(1,2,10,13,7,3,5,14)	544	278
had(1,3,7,2,5,13,10,14)	544	278
had(1,3,5,13,7,2,10,14)	544	278
had(2,1,3,7,13,10,14,5)	544	278
had(2,1,13,10,3,7,14,5)	544	278
had(2,5,14,1,13,7,3,10)	544	278
had(2,5,13,7,14,1,3,10)	544	278
had(3,1,2,7,13,5,14,10)	544	278
had(3,1,13,5,2,7,14,10)	544	278
had(5,2,1,14,7,13,10,3)	544	278
had(5,2,7,13,1,14,10,3)	544	278
had(4,9,5,13,11,12,14,10)	536	278
had(4,9,11,12,5,13,14,10)	536	278
had(9,4,13,5,12,11,10,14)	536	278
had(9,4,12,11,13,5,10,14)	536	278
had(9,10,15,7,4,14,6,2)	544	278
had(9,10,4,14,15,7,6,2)	544	278
had(10,9,7,15,14,4,2,6)	544	278
had(10,9,14,4,7,15,2,6)	544	278
had(1,13,6,9,8,12,2,10)	432	278
had(1,13,8,12,6,9,2,10)	432	278
had(13,1,9,6,12,8,10,2)	432	278
had(13,1,12,8,9,6,10,2)	432	278
had(1,13,4,15,8,12,14,7)	512	278
had(1,13,8,12,4,15,14,7)	512	278
had(15,13,14,8,7,12,4,1)	512	278
had(15,13,7,12,14,8,4,1)	512	278
had(13,15,8,14,12,7,1,4)	512	278
had(13,15,12,7,8,14,1,4)	512	278
had(13,1,15,4,12,8,7,14)	512	278
had(13,1,12,8,15,4,7,14)	512	278
had(2,7,3,1,14,10,13,5)	544	280
had(2,7,14,10,3,1,13,5)	544	280
had(7,2,1,3,10,14,5,13)	544	280
had(7,2,10,14,1,3,5,13)	544	280
had(5,14,1,2,7,3,10,13)	544	280
had(5,14,7,3,1,2,10,13)	544	280
had(14,5,2,1,3,7,13,10)	544	280
had(14,5,3,7,2,1,13,10)	544	280
had(3,9,2,11,4,1,12,7)	456	280
had(3,9,4,1,2,11,12,7)	456	280
had(9,3,11,2,1,4,7,12)	456	280
had(9,3,1,4,11,2,7,12)	456	280
had(2,9,3,11,8,13,15,14)	488	280
had(2,9,3,11,13,8,14,15)	488	280
had(2,9,8,13,3,11,15,14)	488	280
had(2,9,13,8,3,11,14,15)	488	280
had(9,2,11,3,13,8,14,15)	488	280
had(9,2,11,3,8,13,15,14)	488	280
had(9,2,13,8,11,3,14,15)	488	280
had(9,2,8,13,11,3,15,14)	488	280
had(2,6,14,4,10,9,7,15)	544	280
had(2,6,10,9,14,4,7,15)	544	280
had(4,14,6,2,15,7,9,10)	544	280
had(4,14,15,7,6,2,9,10)	544	280
had(4,10,6,7,15,2,9,14)	544	280
had(4,10,15,2,6,7,9,14)	544	280
had(6,2,4,14,9,10,15,7)	544	280
had(6,2,9,10,4,14,15,7)	544	280
had(6,7,4,10,15,2,9,14)	544	280
had(6,7,4,10,9,14,15,2)	544	280
had(6,7,15,2,4,10,9,14)	544	280
had(6,7,9,14,4,10,15,2)	544	280
had(14,4,2,6,7,15,10,9)	544	280
had(14,4,7,15,2,6,10,9)	544	280
had(7,6,10,4,2,15,14,9)	544	280
had(7,6,10,4,14,9,2,15)	544	280
had(7,6,2,15,10,4,14,9)	544	280
had(7,6,14,9,10,4,2,15)	544	280
had(15,10,9,7,6,14,4,2)	544	280
had(15,10,6,14,9,7,4,2)	544	280
had(10,15,7,9,14,6,2,4)	544	280
had(10,15,14,6,7,9,2,4)	544	280
had(10,4,7,6,2,15,14,9)	544	280
had(10,4,2,15,7,6,14,9)	544	280
had(1,15,6,3,12,14,10,11)	568	280
had(1,15,12,14,6,3,10,11)	568	280
had(15,1,3,6,14,12,11,10)	568	280
had(15,1,14,12,3,6,11,10)	568	280
had(15,10,11,1,14,6,3,12)	568	280
had(15,10,14,6,11,1,3,12)	568	280
had(10,15,1,11,6,14,12,3)	568	280
had(10,15,6,14,1,11,12,3)	568	280
had(2,13,8,9,6,12,1,10)	432	280
had(2,13,6,12,8,9,1,10)	432	280
had(8,13,2,9,1,12,6,10)	432	280
had(8,13,1,12,2,9,6,10)	432	280
had(13,8,9,2,12,1,10,6)	432	280
had(13,8,12,1,9,2,10,6)	432	280
had(13,2,9,8,12,6,10,1)	432	280
had(13,2,12,6,9,8,10,1)	432	280
had(8,13,14,15,1,12,4,7)	512	280
had(8,13,1,12,14,15,4,7)	512	280
had(13,8,15,14,12,1,7,4)	512	280
had(13,8,12,1,15,14,7,4)	512	280
had(2,10,3,5,14,7,13,1)	544	282
had(2,10,14,7,3,5,13,1)	544	282
had(10,2,5,3,7,14,1,13)	544	282
had(10,2,7,14,5,3,1,13)	544	282
had(1,2,7,3,9,12,11,4)	456	282
had(1,2,9,12,7,3,11,4)	456	282
had(2,1,3,7,12,9,4,11)	456	282
had(2,1,12,9,3,7,4,11)	456	282
had(4,9,5,13,14,10,11,12)	536	282
had(4,9,14,10,5,13,11,12)	536	282
had(4,12,5,10,14,13,11,9)	536	282
had(4,12,14,13,5,10,11,9)	536	282
had(9,4,13,5,10,14,12,11)	536	282
had(9,4,10,14,13,5,12,11)	536	282
had(12,4,10,5,13,14,9,11)	536	282
had(12,4,13,14,10,5,9,11)	536	282
had(2,11,3,9,15,13,8,14)	488	282
had(2,11,15,13,3,9,8,14)	488	282
had(11,2,9,3,13,15,14,8)	488	282
had(11,2,13,15,9,3,14,8)	488	282
had(4,7,6,10,9,2,15,14)	544	282
had(4,7,9,2,6,10,15,14)	544	282
had(6,10,15,14,9,2,4,7)	544	282
had(6,10,9,2,15,14,4,7)	544	282
had(7,4,10,6,2,9,14,15)	544	282
had(7,4,2,9,10,6,14,15)	544	282
had(9,10,4,14,6,2,15,7)	544	282
had(9,10,6,2,4,14,15,7)	544	282
had(10,9,14,4,2,6,7,15)	544	282
had(10,9,2,6,14,4,7,15)	544	282
had(10,6,14,15,2,9,7,4)	544	282
had(10,6,2,9,14,15,7,4)	544	282
had(6,15,12,11,10,14,1,3)	568	282
had(6,15,10,14,12,11,1,3)	568	282
had(15,6,11,12,14,10,3,1)	568	282
had(15,6,14,10,11,12,3,1)	568	282
had(14,12,11,10,15,1,3,6)	568	282
had(14,12,3,6,15,1,11,10)	568	282
had(14,12,15,1,11,10,3,6)	568	282
had(14,12,15,1,3,6,11,10)	568	282
had(12,14,10,11,1,15,6,3)	568	282
had(12,14,6,3,1,15,10,11)	568	282
had(12,14,1,15,10,11,6,3)	568	282
had(12,14,1,15,6,3,10,11)	568	282
had(1,12,2,9,8,13,6,10)	432	282
had(1,12,8,13,2,9,6,10)	432	282
had(12,1,9,2,13,8,10,6)	432	282
had(12,1,13,8,9,2,10,6)	432	282
had(1,7,8,15,13,14,12,4)	512	282
had(1,7,13,14,8,15,12,4)	512	282
had(7,1,15,8,14,13,4,12)	512	282
had(7,1,14,13,15,8,4,12)	512	282
had(8,14,13,15,12,7,1,4)	512	282
had(8,14,12,7,13,15,1,4)	512	282
had(8,15,13,14,1,7,12,4)	512	282
had(8,15,1,7,13,14,12,4)	512	282
had(14,8,15,13,7,12,4,1)	512	282
had(14,8,7,12,15,13,4,1)	512	282
had(15,8,14,13,7,1,4,12)	512	282
had(15,8,7,1,14,13,4,12)	512	282
had(2,13,3,14,11,15,9,8)	488	284
had(2,13,11,15,3,14,9,8)	488	284
had(13,2,14,3,15,11,8,9)	488	284
had(13,2,15,11,14,3,8,9)	488	284
had(1,11,7,9,15,10,8,5)	536	284
had(1,11,15,10,7,9,8,5)	536	284
had(11,1,9,7,10,15,5,8)	536	284
had(11,1,10,15,9,7,5,8)	536	284
had(2,6,7,15,10,9,14,4)	544	284
had(2,6,10,9,7,15,14,4)	544	284
had(2,9,7,4,10,6,14,15)	544	284
had(2,9,10,6,7,4,14,15)	544	284
had(4,10,9,14,15,2,6,7)	544	284
had(4,10,15,2,9,14,6,7)	544	284
had(6,2,15,7,9,10,4,14)	544	284
had(6,2,9,10,15,7,4,14)	544	284
had(9,2,4,7,6,10,15,14)	544	284
had(9,2,6,10,4,7,15,14)	544	284
had(15,10,6,14,4,2,9,7)	544	284
had(15,10,4,2,6,14,9,7)	544	284
had(10,15,14,6,2,4,7,9)	544	284
had(10,15,2,4,14,6,7,9)	544	284
had(10,4,14,9,2,15,7,6)	544	284
had(10,4,2,15,14,9,7,6)	544	284
had(3,12,15,10,11,1,14,6)	568	284
had(3,12,11,1,15,10,14,6)	568	284
had(12,3,10,15,1,11,6,14)	568	284
had(12,3,1,11,10,15,6,14)	568	284
had(11,15,2,13,7,5,12,6)	552	284
had(11,15,7,5,2,13,12,6)	552	284
had(15,11,13,2,5,7,6,12)	552	284
had(15,11,5,7,13,2,6,12)	552	284
had(7,12,14,8,6,5,9,3)	560	284
had(7,12,6,5,14,8,9,3)	560	284
had(12,7,8,14,5,6,3,9)	560	284
had(12,7,5,6,8,14,3,9)	560	284
had(7,13,15,12,14,1,4,8)	512	284
had(7,13,14,1,15,12,4,8)	512	284
had(8,13,1,12,7,4,15,14)	512	284
had(8,13,7,4,1,12,15,14)	512	284
had(13,8,12,1,4,7,14,15)	512	284
had(13,8,4,7,12,1,14,15)	512	284
had(13,7,12,15,1,14,8,4)	512	284
had(13,7,1,14,12,15,8,4)	512	284
had(1,2,5,14,10,13,7,3)	544	286
had(1,2,10,13,5,14,7,3)	544	286
had(2,1,14,5,13,10,3,7)	544	286
had(2,1,13,10,14,5,3,7)	544	286
had(3,5,13,1,14,7,2,10)	544	286
had(3,5,14,7,13,1,2,10)	544	286
had(5,3,1,13,7,14,10,2)	544	286
had(5,3,7,14,1,13,10,2)	544	286
had(2,11,3,9,4,1,12,7)	456	286
had(2,11,3,9,12,7,4,1)	456	286
had(2,11,4,1,3,9,12,7)	456	286
had(2,11,12,7,3,9,4,1)	456	286
had(4,9,12,11,3,1,2,7)	456	286
had(4,9,3,1,12,11,2,7)	456	286
had(11,2,9,3,1,4,7,12)	456	286
had(11,2,9,3,7,12,1,4)	456	286
had(11,2,1,4,9,3,7,12)	456	286
had(11,2,7,12,9,3,1,4)	456	286
had(9,4,11,12,1,3,7,2)	456	286
had(9,4,1,3,11,12,7,2)	456	286
had(5,9,4,13,14,12,11,10)	536	286
had(5,9,14,12,4,13,11,10)	536	286
had(9,5,13,4,12,14,10,11)	536	286
had(9,5,12,14,13,4,10,11)	536	286
had(10,8,9,1,11,7,5,15)	536	286
had(10,8,11,7,9,1,5,15)	536	286
had(8,10,1,9,7,11,15,5)	536	286
had(8,10,7,11,1,9,15,5)	536	286
had(2,4,7,9,10,15,14,6)	544	286
had(2,4,10,15,7,9,14,6)	544	286
had(2,15,7,6,10,4,14,9)	544	286
had(2,15,10,4,7,6,14,9)	544	286
had(4,2,9,7,15,10,6,14)	544	286
had(4,2,15,10,9,7,6,14)	544	286
had(6,14,4,2,9,7,15,10)	544	286
had(6,14,9,7,4,2,15,10)	544	286
had(6,10,4,7,9,2,15,14)	544	286
had(6,10,9,2,4,7,15,14)	544	286
had(14,6,2,4,7,9,10,15)	544	286
had(14,6,7,9,2,4,10,15)	544	286
had(14,9,2,15,10,4,7,6)	544	286
had(14,9,10,4,2,15,7,6)	544	286
had(9,14,15,2,4,10,6,7)	544	286
had(9,14,4,10,15,2,6,7)	544	286
had(15,2,6,7,4,10,9,14)	544	286
had(15,2,4,10,6,7,9,14)	544	286
had(10,6,7,4,2,9,14,15)	544	286
had(10,6,2,9,7,4,14,15)	544	286
had(12,11,6,15,1,3,10,14)	568	286
had(12,11,1,3,6,15,10,14)	568	286
had(11,12,15,6,3,1,14,10)	568	286
had(11,12,3,1,15,6,14,10)	568	286
had(2,15,11,13,12,5,7,6)	552	286
had(2,15,12,5,11,13,7,6)	552	286
had(6,11,5,2,15,12,13,7)	552	286
had(6,11,15,12,5,2,13,7)	552	286
had(11,6,2,5,12,15,7,13)	552	286
had(11,6,12,15,2,5,7,13)	552	286
had(7,15,12,13,2,6,11,5)	552	286
had(7,15,2,6,12,13,11,5)	552	286
had(15,7,13,12,6,2,5,11)	552	286
had(15,7,6,2,13,12,5,11)	552	286
had(15,2,13,11,5,12,6,7)	552	286
had(15,2,5,12,13,11,6,7)	552	286
had(1,12,7,4,8,13,15,14)	512	286
had(1,12,8,13,7,4,15,14)	512	286
had(1,13,8,12,15,4,7,14)	512	286
had(1,13,15,4,8,12,7,14)	512	286
had(12,1,4,7,13,8,14,15)	512	286
had(12,1,13,8,4,7,14,15)	512	286
had(13,1,12,8,4,15,14,7)	512	286
had(13,1,4,15,12,8,14,7)	512	286
had(1,14,5,2,10,3,7,13)	544	288
had(1,14,10,3,5,2,7,13)	544	288
had(2,7,14,10,13,5,3,1)	544	288
had(2,7,13,5,14,10,3,1)	544	288
had(7,2,10,14,5,13,1,3)	544	288
had(7,2,5,13,10,14,1,3)	544	288
had(14,1,2,5,3,10,13,7)	544	288
had(14,1,3,10,2,5,13,7)	544	288
had(3,9,2,11,12,7,4,1)	456	288
had(3,9,12,7,2,11,4,1)	456	288
had(9,12,11,4,1,2,7,3)	456	288
had(9,12,1,2,11,4,7,3)	456	288
had(9,3,11,2,7,12,1,4)	456	288
had(9,3,7,12,11,2,1,4)	456	288
had(12,9,4,11,2,1,3,7)	456	288
had(12,9,2,1,4,11,3,7)	456	288
had(1,15,3,6,4,13,9,5)	448	288
had(1,15,4,13,3,6,9,5)	448	288
had(15,1,6,3,13,4,5,9)	448	288
had(15,1,13,4,6,3,5,9)	448	288
had(2,9,3,11,15,14,8,13)	488	288
had(2,9,15,14,3,11,8,13)	488	288
had(9,2,11,3,14,15,13,8)	488	288
had(9,2,14,15,11,3,13,8)	488	288
had(1,10,8,9,15,11,7,5)	536	288
